dDBA	Booking Window
-1	Actuals
0	0-3 days
1	0-3 days
2	0-3 days
3	0-3 days
4	04-7 days
5	04-7 days
6	04-7 days
7	04-7 days
8	08-14 days
9	08-14 days
10	08-14 days
11	08-14 days
12	08-14 days
13	08-14 days
14	08-14 days
15	15-21 days
16	15-21 days
17	15-21 days
18	15-21 days
19	15-21 days
20	15-21 days
21	15-21 days
22	22-28 days
23	22-28 days
24	22-28 days
25	22-28 days
26	22-28 days
27	22-28 days
28	22-28 days
29	29-42 days
30	29-42 days
31	29-42 days
32	29-42 days
33	29-42 days
34	29-42 days
35	29-42 days
36	29-42 days
37	29-42 days
38	29-42 days
39	29-42 days
40	29-42 days
41	29-42 days
42	29-42 days
43	43-63 days
44	43-63 days
45	43-63 days
46	43-63 days
47	43-63 days
48	43-63 days
49	43-63 days
50	43-63 days
51	43-63 days
52	43-63 days
53	43-63 days
54	43-63 days
55	43-63 days
56	43-63 days
57	43-63 days
58	43-63 days
59	43-63 days
60	43-63 days
61	43-63 days
62	43-63 days
63	43-63 days
64	64-91 days
65	64-91 days
66	64-91 days
67	64-91 days
68	64-91 days
69	64-91 days
70	64-91 days
71	64-91 days
72	64-91 days
73	64-91 days
74	64-91 days
75	64-91 days
76	64-91 days
77	64-91 days
78	64-91 days
79	64-91 days
80	64-91 days
81	64-91 days
82	64-91 days
83	64-91 days
84	64-91 days
85	64-91 days
86	64-91 days
87	64-91 days
88	64-91 days
89	64-91 days
90	64-91 days
91	64-91 days
92	91+ days
93	91+ days
94	91+ days
95	91+ days
96	91+ days
97	91+ days
98	91+ days
99	91+ days
100	91+ days
101	91+ days
102	91+ days
103	91+ days
104	91+ days
105	91+ days
106	91+ days
107	91+ days
108	91+ days
109	91+ days
110	91+ days
111	91+ days
112	91+ days
113	91+ days
114	91+ days
115	91+ days
116	91+ days
117	91+ days
118	91+ days
119	91+ days
120	91+ days
121	91+ days
122	91+ days
123	91+ days
