RMLs	"Contribution Importance"	Sub-Bucket	Segment	Bucket_ID	Bucket Name	RML_Pair
RMA	Strategic	Unrestricted	Transient Direct	ABEF	Transient BAR	AE
RMB	High	Advance Saver	Transient Direct	ABEF	Transient BAR	BF
RMC	Other+	Super Advance Saver	Transient Direct	CDGH	Transient Promotions	CG
RMD	Other	Promotions	Transient Direct	CDGH	Transient Promotions	DH
RME	Strategic	Unrestricted	Transient Distribution	ABEF	Transient BAR	AE
RMF	High	Advance Saver	Transient Distribution	ABEF	Transient BAR	BF
RMG	Other+	Super Advance Saver	Transient Distribution	CDGH	Transient Promotions	CG
RMH	Other	Promotions	Transient Distribution	CDGH	Transient Promotions	DH
RMI	Strategic	Strategic	Corporate	IJ	Corporate	
RMJ	High	High	Corporate	IJ	Corporate	
RMK	Medium	Medium	"FIT"	KLZ	Contracted Leisure	
RML	Low	Low	"FIT"	KLZ	Contracted Leisure	
RMQ	Small Meetings	Small Meetings <80 Rooms	Business Groups	QRSTY	Groups	
RMR	Other Meetings	Large Meetings 80+ Rooms	Business Groups	QRSTY	Groups	
RMS	Professional Groups	Business Groups	Business Groups	QRSTY	Groups	
RMT	Other Groups	Leisure Groups	Leisure Groups	QRSTY	Groups	
RMY	Airlines	Crew	Other	QRSTY	Groups	
RMZ	Miscellaneous	Complimentary + Day Use	Other	KLZ	Contracted Leisure	
